keys,en,it,es,fr,de,zh_CN
PROJECT_TIME,Project:,Progetto:,Proyecto:,Projet:,Projektzeit:,项目:
PROJECT_PAUSED,Project (PAUSED):,Progetto (IN PAUSA):,Proyecto (PAUSADO):,Projet (EN PAUSE):,Projekt (PAUSIERT):,项目 (暂停):
SESSION_LABEL,Session:,Sessione:,Sesión:,Session:,Sitzung:,会话:
IDLE_LABEL,Idle:,Inattivo:,Inactivo:,Inactivité:,Leerlaufzeit:,空闲:
IDLE_AFTER_LABEL,Idle After:,Inattivo dopo:,Inactivo:,Inactivité:,Leerlaufzeit:,空闲后:
EXTERNAL_LABEL,External Apps:,App Esterne:,Tiempo Externo:,Temps Externe:,Externe Zeit:,外部应用:
REST_CHECKBOX,Rest Reminder,Ricorda Riposo,Tiempo de Descanso,Temps de Repos,Ruhezeit,休息提醒
PAUSE_BUTTON,Pause,Pausa,Pausa,Pause,Pause,暂停
RESUME_BUTTON,Resume,Riprendi,Reanudar,Reprendre,Fortsetzen,继续
REPORT_BUTTON,Generate Project Report,Genera Report Progetto,Generar Informe,Générer Rapport,Bericht Erstellen,生成项目报告
REST_LABEL,no rest time.,nessun riposo.,Sin descanso.,pas de repos.,keine Ruhe.,无休息时间.
REST_DIALOG_TITLE,Rest Time Alert,Avviso di Riposo,Alerta de Tiempo de Descanso,Alerte Temps de Repos,Ruhezeit-Warnung,休息提醒
REST_DIALOG_TEXT,It's time to take a break!,È ora di fare una pausa!,¡Es hora de tomar un descanso!,C'est l'heure de faire une pause!,Zeit für eine Pause!,该休息一下了!
REST_OK,No! let me code!,No! lasciami lavorare,¡No! ¡Déjame codificar!,Non ! laisse-moi coder !,Nein! Lass mich programmieren!,不，我要接着敲代码!
CLEAR_ALL_TITLE,Clear All Data,Cancella Tutti i Dati,Borrar Todos los Datos,Effacer Toutes les Données,Alle Daten Löschen,清除所有数据
CLEAR_ALL_TEXT,Are you sure you want to clear all time statistics?\n\nDo you want to continue?,Sei sicuro di voler cancellare tutte le statistiche ?\n\nVuoi continuare?,¿Estás seguro de que quieres borrar todas las estadísticas de tiempo?\n\n¿Quieres continuar?,Êtes-vous sûr de vouloir effacer toutes les statistiques de temps?\n\nVoulez-vous continuer?,Sind Sie sicher dass Sie alle Zeitstatistiken löschen möchten?\n\nMöchten Sie fortfahren?,您确定要清除所有时间统计数据吗？\n\n是否继续？
CLEAR_SESSION_TITLE,Clear Session...,Cancella Sessione...,Borrar sesión...,Session claire...,Sitzung löschen...,清除会话...
CLEAR_SESSION_TEXT,Clear current session time statistics?\n\nDo you want to continue?,Cancellare le statistiche della sessione corrente?\n\nVuoi continuare?,¿Borrar las estadísticas de tiempo de la sesión actual?\n\n¿Quieres continuar?,Effacer les statistiques de temps de la session en cours?\n\nVoulez-vous continuer?,Aktuelle Sitzungszeitstatistiken löschen?\n\nMöchten Sie fortfahren?,清除当前会话时间统计数据？\n\n是否继续？
CLEAR_TRACK_TITLE,Clear Track...,Cancella Traccia...,Borrar sesión...,Pista claire...,Spur abbrechen...,清除记录...
CLEAR_TRACK_TEXT,Are you sure to remove '%s' time track?\n\nDo you want to continue?,Sei sicuro di rimuovere la traccia '%s' ?\n\nVuoi continuare?,¿Estás seguro de eliminar la pista '%s' ?\n\n¿Quieres continuar?,Êtes-vous sûr de supprimer la piste '%s' ?\n\nVoulez-vous continuer?,Sind Sie sicher dass Sie die Zeitspur '%s' entfernen möchten? \n\nMöchten Sie fortfahren?,您确定要删除“%s”的时间记录吗？\n\n是否继续？
BTN_OK,Ok,Ok,Ok,Ok,Ok,确定
BTN_CANCEL,Cancel,Annulla,Cancelar,Annuler,Stornieren,取消
